2026-05-15 19:41:56 [INFO] [API] GET /notifications/unread-count 304 2ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /zone-access/music 304 0ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /admin/levels/config 304 2ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /music/songs 304 3ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /notifications/unread-count 304 3ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /zone-access/music 304 4ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /levels/me 304 4ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /music/playlists 304 1ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:41:57 [INFO] [API] GET /64 200 15ms user=2
2026-05-15 19:41:58 [INFO] [API] GET /music/playlists/18 200 2ms user=2
2026-05-15 19:41:58 [INFO] [API] GET /notifications/unread-count 304 2ms user=2
2026-05-15 19:41:58 [INFO] [API] GET /zone-access/music 304 2ms user=2
2026-05-15 19:41:58 [INFO] [API] GET /levels/me 304 2ms user=2
2026-05-15 19:41:58 [INFO] [API] GET /friend-requests 304 0ms user=2
2026-05-15 19:42:04 [INFO] [API] POST /music/upload-cover 200 6ms user=2
2026-05-15 19:42:04 [INFO] [API] PUT /music/playlists/18 200 1ms user=2
2026-05-15 19:42:04 [INFO] [API] GET /music/playlists/18 200 1ms user=2
2026-05-15 19:42:04 [INFO] [API] GET /77 200 1ms user=2
2026-05-15 19:42:07 [INFO] [API] GET /notifications/unread-count 304 3ms user=2
2026-05-15 19:42:07 [INFO] [API] GET /music/songs 304 1ms user=2
2026-05-15 19:42:07 [INFO] [API] GET /zone-access/music 304 1ms user=2
2026-05-15 19:42:07 [INFO] [API] GET /levels/me 304 1ms user=2
2026-05-15 19:42:07 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:42:07 [INFO] [API] GET /music/playlists 200 1ms user=2
2026-05-15 19:42:11 [INFO] [API] GET /music/playlists/18 304 2ms user=2
2026-05-15 19:42:11 [INFO] [API] GET /notifications/unread-count 304 2ms user=2
2026-05-15 19:42:11 [INFO] [API] GET /zone-access/music 304 2ms user=2
2026-05-15 19:42:11 [INFO] [API] GET /levels/me 304 3ms user=2
2026-05-15 19:42:11 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:42:28 [WARN] [API] GET /music/songs 401 1ms
2026-05-15 19:42:28 [INFO] [API] GET /sound 304 2ms
2026-05-15 19:42:28 [INFO] [API] GET /me 200 0ms
2026-05-15 19:42:28 [WARN] [API] GET /levels/me 401 1ms
2026-05-15 19:42:33 [INFO] [API] POST /login 200 65ms user=1
2026-05-15 19:42:33 [INFO] [API] GET /zone-access/work 304 2ms user=1
2026-05-15 19:42:33 [INFO] [API] GET /zone-access/chat 304 2ms user=1
2026-05-15 19:42:33 [INFO] [API] GET /zone-access/music 304 2ms user=1
2026-05-15 19:42:33 [INFO] [API] GET /notifications/unread-count 304 3ms user=1
2026-05-15 19:42:33 [INFO] [API] GET /admin/levels/config 304 1ms user=1
2026-05-15 19:42:33 [INFO] [API] GET /zone-access/music 304 3ms user=1
2026-05-15 19:42:33 [INFO] [API] GET / 200 3ms user=1
2026-05-15 19:42:33 [INFO] [API] GET /levels/me 304 3ms user=1
